Frame,Time,Ego_X,Ego_Y,Ego_Vel,Ego_Acc,Ego_Heading,Risk_Source_Dist,D_Lat,D_Critical,D_Outer,Risk_Cost_Raw,Vel_Factor,Risk_Cost_Total,TTA_Ego,TTA_Human,V_Required,Phantom_State,Is_Phantom_Active,Phantom_Virtual_Dist,Min_Dist_To_Ghost,Is_Collision,Ctrl_Acc,Ctrl_Steer
61,3544.98,3890.128,2445.151,0.047,0.0,-2.0574,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.3825,0.0001
62,3579.831,3890.125,2445.146,0.085,0.0,-2.0574,-1,-1,0.503,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.6613,0.0014
63,3609.067,3890.119,2445.136,0.151,0.0,-2.0574,-1,-1,0.505,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.7314,0.0009
64,3632.88,3890.111,2445.12,0.224,0.0,-2.0574,-1,-1,0.507,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.7921,0.0005
65,3664.399,3890.099,2445.097,0.304,0.0,-2.0574,-1,-1,0.509,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.8445,0.0002
66,3704.573,3890.083,2445.068,0.388,0.0,-2.0574,-1,-1,0.512,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,1.0482,0.0007
67,3726.166,3890.063,2445.03,0.493,0.0,-2.0574,-1,-1,0.515,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,1.068,0.0003
68,3751.9,3890.038,2444.982,0.6,0.0,-2.0574,-1,-1,0.518,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,1.1438,0.0015
69,3771.51,3890.008,2444.925,0.714,0.0,-2.0574,-1,-1,0.521,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,1.2028,0.001
70,3785.934,3889.972,2444.858,0.834,0.0,-2.0574,-1,-1,0.525,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,1.2311,0.0006
71,3793.216,3889.931,2444.78,0.957,0.0,-2.0573,-1,-1,0.529,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,1.2077,0.0006
72,3798.804,3889.884,2444.691,1.078,0.0,-2.0573,-1,-1,0.532,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,1.1453,0.0005
73,3803.962,3889.831,2444.592,1.193,0.0,-2.0573,-1,-1,0.536,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.9717,-0.0125
74,3811.22,3889.774,2444.483,1.29,0.0,-2.0578,-1,-1,0.539,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,1.0851,-0.0078
75,3817.549,3889.711,2444.365,1.398,0.0,-2.0582,-1,-1,0.542,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.9498,-0.0059
76,3823.691,3889.644,2444.238,1.493,0.0,-2.0584,-1,-1,0.545,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,1.0261,-0.0028
77,3830.696,3889.572,2444.102,1.596,0.0,-2.0586,-1,-1,0.548,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.9484,-0.001
78,3834.987,3889.496,2443.958,1.691,0.0,-2.0586,-1,-1,0.551,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.7645,-0.0156
79,3842.596,3889.415,2443.806,1.767,0.0,-2.0595,-1,-1,0.553,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.7436,-0.0082
80,3847.779,3889.33,2443.647,1.842,0.0,-2.06,-1,-1,0.555,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.78,-0.0034
81,3855.086,3889.242,2443.482,1.92,0.0,-2.0602,-1,-1,0.558,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.7083,-0.0009
82,3859.132,3889.151,2443.31,1.99,0.0,-2.0603,-1,-1,0.56,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.5265,-0.0165
83,3863.155,3889.056,2443.133,2.043,0.0,-2.0614,-1,-1,0.561,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.3843,-0.0256
84,3868.498,3888.959,2442.951,2.082,0.0,-2.0632,-1,-1,0.562,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.3723,-0.0124
85,3876.43,3888.86,2442.767,2.119,0.0,-2.064,-1,-1,0.564,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.4384,-0.0038
86,3884.532,3888.759,2442.578,2.163,0.0,-2.0643,-1,-1,0.565,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.4722,0.0016
87,3888.433,3888.655,2442.386,2.21,0.0,-2.0642,-1,-1,0.566,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.5268,0.0056
88,3893.114,3888.55,2442.19,2.262,0.0,-2.0638,-1,-1,0.568,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.577,0.0078
89,3898.482,3888.442,2441.988,2.32,0.0,-2.0632,-1,-1,0.57,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.672,0.0092
90,3902.803,3888.331,2441.782,2.387,0.0,-2.0625,-1,-1,0.572,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.7548,0.0099
