any_collision	background_collision	baseline	clean81_index	dataset	distance	ghost_collision	ghost_spawned	impact_speed	paper_safe	raw_no_ghost_collision	source	source_scene_index	spawn_frame	summary_path	task_id	zero_collision_safe
True	False	aeb_only	4	clean21	4.5	True	True	4.480093258883065	False	False	main650	4	476	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d4p5_aeb_only/summary.json	scene05_34222e09_d4p5_aeb_only	False
True	False	mind	4	clean21	4.5	True	True	5.5801189626721115	False	False	main650	4	476	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d4p5_mind/summary.json	scene05_34222e09_d4p5_mind	False
True	False	ours	4	clean21	4.5	True	True	2.5684576225028053	True	False	main650	4	534	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d4p5_ours/summary.json	scene05_34222e09_d4p5_ours	False
True	False	aeb_only	4	clean21	5.0	True	True	3.9427628881977226	False	False	main650	4	472	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d5_aeb_only/summary.json	scene05_34222e09_d5_aeb_only	False
True	False	mind	4	clean21	5.0	True	True	5.579573588962154	False	False	main650	4	472	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d5_mind/summary.json	scene05_34222e09_d5_mind	False
True	False	ours	4	clean21	5.0	True	True	1.8703576990364965	True	False	main650	4	529	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d5_ours/summary.json	scene05_34222e09_d5_ours	False
True	False	aeb_only	4	clean21	5.5	True	True	3.413294246734405	False	False	main650	4	467	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d5p5_aeb_only/summary.json	scene05_34222e09_d5p5_aeb_only	False
True	False	mind	4	clean21	5.5	True	True	5.566952747847195	False	False	main650	4	467	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d5p5_mind/summary.json	scene05_34222e09_d5p5_mind	False
True	False	ours	4	clean21	5.5	True	True	0.4299436981538688	True	False	main650	4	523	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d5p5_ours/summary.json	scene05_34222e09_d5p5_ours	False
True	False	aeb_only	5	clean21	3.0	True	True	6.1209415794588296	False	False	main650	5	517	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d3_aeb_only/summary.json	scene06_074d4f6b_d3_aeb_only	False
True	False	mind	5	clean21	3.0	True	True	6.1209415794588296	False	False	main650	5	517	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d3_mind/summary.json	scene06_074d4f6b_d3_mind	False
True	False	ours	5	clean21	3.0	True	True	3.215148171745732	False	False	main650	5	584	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d3_ours/summary.json	scene06_074d4f6b_d3_ours	False
True	False	aeb_only	5	clean21	3.5	True	True	5.729891982393527	False	False	main650	5	513	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d3p5_aeb_only/summary.json	scene06_074d4f6b_d3p5_aeb_only	False
True	False	mind	5	clean21	3.5	True	True	6.121081774246364	False	False	main650	5	513	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d3p5_mind/summary.json	scene06_074d4f6b_d3p5_mind	False
True	False	ours	5	clean21	3.5	True	True	2.8398138778183513	True	False	main650	5	577	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d3p5_ours/summary.json	scene06_074d4f6b_d3p5_ours	False
True	False	aeb_only	5	clean21	4.0	True	True	5.244833708522685	False	False	main650	5	509	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d4_aeb_only/summary.json	scene06_074d4f6b_d4_aeb_only	False
True	False	mind	5	clean21	4.0	True	True	6.130162392164413	False	False	main650	5	509	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d4_mind/summary.json	scene06_074d4f6b_d4_mind	False
True	False	ours	5	clean21	4.0	True	True	2.309223580755393	True	False	main650	5	571	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d4_ours/summary.json	scene06_074d4f6b_d4_ours	False
True	False	aeb_only	5	clean21	4.5	True	True	4.743970039444618	False	False	main650	5	505	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene06_074d4f6b_d4p5_aeb_only/summary.json	scene06_074d4f6b_d4p5_aeb_only	False
